"i","bird","event_type","ext_g","int_g","site","datetime"
74,"bravo","entry",-0.5,0.5,"NNBB12",2019-11-25 16:43:36
140,"bravo","exit",0.5,-0.5,"NNBB12",2019-11-25 19:29:42
454,"charlie","exit",0.0454545454545455,-0.0454545454545455,"NNBB12",2019-11-26 13:57:42
641,"charlie","entry",-0.04,0.04,"NNBB12",2019-11-26 20:09:43
819,"charlie","entry",-0.0153846153846154,0.0153846153846154,"NNBB12",2019-11-27 10:08:15
1060,"charlie","exit",0.0303030303030303,-0.0303030303030303,"NNBB12",2019-11-27 17:47:46
1099,"charlie","exit",0.04,-0.04,"NNBB12",2019-11-27 19:00:47
1114,"charlie","entry",-0.0476190476190476,0.0476190476190476,"NNBB12",2019-11-27 19:45:06
1129,"charlie","entry",-0.111111111111111,0.111111111111111,"NNBB12",2019-11-27 20:15:27
1179,"charlie","exit",0.0476190476190476,-0.0476190476190476,"NNBB12",2019-11-28 06:47:29
1186,"charlie","exit",0.0769230769230769,-0.0769230769230769,"NNBB12",2019-11-28 07:01:41
1394,"charlie","exit",0.0163934426229508,-0.0163934426229508,"NNBB12",2019-11-28 13:12:57
1418,"charlie","exit",0.027027027027027,-0.027027027027027,"NNBB12",2019-11-28 13:58:08
1480,"charlie","exit",0.0476190476190476,-0.0476190476190476,"NNBB12",2019-11-28 16:07:56
1482,"charlie","exit",0.0476190476190476,-0.0476190476190476,"NNBB12",2019-11-28 16:11:37
1539,"charlie","entry",-0.0769230769230769,0.0769230769230769,"NNBB12",2019-11-28 18:31:28
1565,"charlie","exit",0.0303030303030303,-0.0303030303030303,"NNBB12",2019-11-28 19:25:38
1745,"charlie","exit",0.0769230769230769,-0.0769230769230769,"NNBB12",2019-11-29 10:09:14
2058,"charlie","exit",0.0588235294117647,-0.0588235294117647,"NNBB12",2019-11-30 07:54:49
2152,"charlie","exit",0.0303030303030303,-0.0303030303030303,"NNBB12",2019-11-30 11:05:29
2503,"charlie","entry",-0.04,0.04,"NNBB12",2019-11-26 20:09:43
2681,"charlie","entry",-0.0153846153846154,0.0153846153846154,"NNBB12",2019-11-27 10:08:15
2922,"charlie","exit",0.0303030303030303,-0.0303030303030303,"NNBB12",2019-11-27 17:47:46
2961,"charlie","exit",0.04,-0.04,"NNBB12",2019-11-27 19:00:47
2976,"charlie","entry",-0.0476190476190476,0.0476190476190476,"NNBB12",2019-11-27 19:45:06
2991,"charlie","entry",-0.111111111111111,0.111111111111111,"NNBB12",2019-11-27 20:15:27
3041,"charlie","exit",0.0476190476190476,-0.0476190476190476,"NNBB12",2019-11-28 06:47:29
3048,"charlie","exit",0.0769230769230769,-0.0769230769230769,"NNBB12",2019-11-28 07:01:41
3256,"charlie","exit",0.0163934426229508,-0.0163934426229508,"NNBB12",2019-11-28 13:12:57
3280,"charlie","exit",0.027027027027027,-0.027027027027027,"NNBB12",2019-11-28 13:58:08
3342,"charlie","exit",0.0476190476190476,-0.0476190476190476,"NNBB12",2019-11-28 16:07:56
3344,"charlie","exit",0.0476190476190476,-0.0476190476190476,"NNBB12",2019-11-28 16:11:37
3401,"charlie","entry",-0.0769230769230769,0.0769230769230769,"NNBB12",2019-11-28 18:31:28
3427,"charlie","exit",0.0303030303030303,-0.0303030303030303,"NNBB12",2019-11-28 19:25:38
3607,"charlie","exit",0.0769230769230769,-0.0769230769230769,"NNBB12",2019-11-29 10:09:14
3920,"charlie","exit",0.0588235294117647,-0.0588235294117647,"NNBB12",2019-11-30 07:54:49
4014,"charlie","exit",0.0303030303030303,-0.0303030303030303,"NNBB12",2019-11-30 11:05:29
4525,"charlie","entry",-0.0625,0.0625,"NNBB12",2019-12-02 15:27:39
4658,"charlie","entry",-0.166666666666667,0.166666666666667,"NNBB12",2019-12-02 17:50:07
4952,"charlie","entry",-0.166666666666667,0.166666666666667,"NNBB12",2019-12-03 09:00:15
4960,"charlie","entry",-0.1,0.1,"NNBB12",2019-12-03 09:07:45
5175,"charlie","entry",-0.125,0.125,"NNBB12",2019-12-03 13:43:18
5221,"charlie","entry",-0.25,0.25,"NNBB12",2019-12-03 14:24:42
5438,"charlie","entry",-0.166666666666667,0.166666666666667,"NNBB12",2019-12-03 18:58:28
5511,"bravo","entry",-0.125,0.125,"NNBB12",2019-12-04 06:17:48
5594,"charlie","entry",-0.125,0.125,"NNBB12",2019-12-04 08:00:42
5651,"charlie","entry",-0.166666666666667,0.166666666666667,"NNBB12",2019-12-04 08:55:18
5665,"charlie","entry",-0.166666666666667,0.166666666666667,"NNBB12",2019-12-04 09:12:54
5739,"charlie","entry",-0.0714285714285714,0.0714285714285714,"NNBB12",2019-12-04 10:59:18
5832,"charlie","entry",-0.25,0.25,"NNBB12",2019-12-04 13:37:36
5977,"charlie","entry",-0.25,0.25,"NNBB12",2019-12-04 18:03:47
5998,"charlie","entry",-0.166666666666667,0.166666666666667,"NNBB12",2019-12-04 18:39:12
6124,"bravo","entry",-0.1,0.1,"NNBB12",2019-12-05 06:12:31
6140,"charlie","entry",-0.125,0.125,"NNBB12",2019-12-05 06:29:02
6159,"charlie","entry",-0.25,0.25,"NNBB12",2019-12-05 06:53:48
6861,"charlie","entry",-0.25,0.25,"NNBB12",2019-12-06 06:46:54
7078,"charlie","entry",-0.125,0.125,"NNBB12",2019-12-06 10:37:08
7314,"charlie","entry",-0.25,0.25,"NNBB12",2019-12-06 16:38:35
7957,"charlie","entry",-0.125,0.125,"NNBB12",2019-12-07 15:39:39
8322,"charlie","entry",-0.166666666666667,0.166666666666667,"NNBB12",2019-12-08 09:07:27
8567,"charlie","entry",-0.1,0.1,"NNBB12",2019-12-08 14:59:01
8832,"charlie","entry",-0.5,0.5,"NNBB12",2019-12-09 06:22:45
9146,"charlie","entry",-0.166666666666667,0.166666666666667,"NNBB12",2019-12-09 13:25:56
9523,"bravo","exit",0.5,-0.5,"NNBB12",2019-12-10 08:37:30
9843,"charlie","entry",-0.1,0.1,"NNBB12",2019-12-10 14:50:54
10260,"charlie","entry",-0.0714285714285714,0.0714285714285714,"NNBB12",2019-12-11 08:55:46
10478,"echo","entry",-0.166666666666667,0.166666666666667,"NNK30",2019-12-14 07:52:45
10877,"delta","entry",-0.25,0.25,"NNK30",2019-12-14 19:18:40
10887,"echo","exit",0.5,-0.5,"NNK30",2019-12-14 19:28:43
11047,"echo","exit",0.5,-0.5,"NNK30",2019-12-15 07:06:38
11109,"echo","exit",0.125,-0.125,"NNK30",2019-12-15 08:02:33
11139,"echo","exit",0.5,-0.5,"NNK30",2019-12-15 08:36:44
11165,"echo","exit",0.5,-0.5,"NNK30",2019-12-15 09:11:40
11171,"delta","exit",0.5,-0.5,"NNK30",2019-12-15 09:17:55
11215,"delta","exit",0.5,-0.5,"NNK30",2019-12-15 10:09:12
11262,"echo","exit",0.5,-0.5,"NNK30",2019-12-15 11:17:07
11296,"echo","exit",0.5,-0.5,"NNK30",2019-12-15 11:47:12
11297,"echo","exit",0.5,-0.5,"NNK30",2019-12-15 11:47:31
12010,"india","entry",-0.125,0.125,"NNK34",2019-12-30 08:52:16
12245,"hotel","exit",0.25,-0.25,"NNK34",2019-12-31 07:22:00
12294,"india","exit",0.25,-0.25,"NNK34",2019-12-31 09:38:20
12782,"hotel","exit",0.166666666666667,-0.166666666666667,"NNK34",2020-01-01 09:07:10
13536,"hotel","exit",0.5,-0.5,"NNK34",2020-01-03 07:01:13
13597,"hotel","exit",0.5,-0.5,"NNK34",2020-01-03 08:37:22
14021,"hotel","entry",-0.125,0.125,"NNK34",2020-01-04 06:56:56
14278,"india","exit",0.125,-0.125,"NNK34",2020-01-04 12:42:44
14300,"hotel","exit",0.125,-0.125,"NNK34",2020-01-04 12:56:32
15037,"hotel","entry",-0.1,0.1,"NNK34",2020-01-05 16:50:35
15064,"hotel","exit",0.125,-0.125,"NNK34",2020-01-05 17:21:05
16168,"hotel","exit",0.166666666666667,-0.166666666666667,"NNK34",2020-01-07 13:33:35
16290,"india","exit",0.166666666666667,-0.166666666666667,"NNK34",2020-01-07 16:02:00
17924,"hotel","exit",0.5,-0.5,"NNK34",2020-01-10 15:44:42
17973,"india","exit",0.0833333333333333,-0.0833333333333333,"NNK34",2020-01-10 16:51:38
18079,"hotel","entry",-0.1,0.1,"NNK34",2020-01-10 18:43:11
18760,"hotel","exit",0.166666666666667,-0.166666666666667,"NNK34",2020-01-11 17:57:38
18843,"hotel","exit",0.5,-0.5,"NNK34",2020-01-11 19:05:25
18988,"india","exit",0.125,-0.125,"NNK34",2020-01-12 08:08:39
19357,"hotel","entry",-0.0714285714285714,0.0714285714285714,"NNK34",2020-01-12 15:07:50
19694,"hotel","exit",0.111111111111111,-0.111111111111111,"NNK34",2020-01-13 08:08:56
20814,"hotel","entry",-0.0833333333333333,0.0833333333333333,"NNK34",2020-01-15 12:46:08
20876,"juliet","entry",-0.1,0.1,"NNK35",2019-12-19 15:53:18
20890,"lima","entry",-0.125,0.125,"NNK35",2019-12-19 16:17:45
20892,"juliet","entry",-0.1,0.1,"NNK35",2019-12-19 16:39:58
20983,"juliet","entry",-0.0625,0.0625,"NNK35",2019-12-19 19:24:00
21082,"lima","entry",-0.1,0.1,"NNK35",2019-12-20 07:03:24
21099,"juliet","entry",-0.25,0.25,"NNK35",2019-12-20 07:17:49
21107,"lima","entry",-0.5,0.5,"NNK35",2019-12-20 07:38:10
21131,"juliet","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-20 08:16:03
21132,"kilo","entry",-0.25,0.25,"NNK35",2019-12-20 08:17:51
21152,"lima","exit",0.333333333333333,-0.333333333333333,"NNK35",2019-12-20 08:47:15
21176,"juliet","exit",0.5,-0.5,"NNK35",2019-12-20 09:25:29
21187,"juliet","entry",-0.0625,0.0625,"NNK35",2019-12-20 09:40:45
21212,"juliet","entry",-0.25,0.25,"NNK35",2019-12-20 10:20:22
21224,"juliet","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-20 10:41:05
21234,"juliet","entry",-0.0625,0.0625,"NNK35",2019-12-20 11:03:16
21418,"kilo","entry",-0.03125,0.03125,"NNK35",2019-12-20 16:23:55
21423,"juliet","exit",0.125,-0.125,"NNK35",2019-12-20 16:28:34
21424,"juliet","exit",0.125,-0.125,"NNK35",2019-12-20 16:28:35
21438,"kilo","entry",-0.125,0.125,"NNK35",2019-12-20 16:59:54
21495,"juliet","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-20 18:14:23
21502,"juliet","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-20 18:37:39
21511,"kilo","entry",-0.0555555555555556,0.0555555555555556,"NNK35",2019-12-20 18:40:23
21531,"lima","exit",0.25,-0.25,"NNK35",2019-12-20 19:22:09
21607,"kilo","entry",-0.125,0.125,"NNK35",2019-12-21 06:45:58
21618,"juliet","exit",0.0833333333333333,-0.0833333333333333,"NNK35",2019-12-21 06:54:21
21699,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-21 09:00:35
21734,"lima","entry",-0.1,0.1,"NNK35",2019-12-21 10:26:45
21783,"juliet","entry",-0.25,0.25,"NNK35",2019-12-21 12:00:26
21852,"juliet","entry",-0.25,0.25,"NNK35",2019-12-21 14:03:02
21856,"juliet","entry",-0.125,0.125,"NNK35",2019-12-21 14:07:26
21860,"kilo","entry",-0.05,0.05,"NNK35",2019-12-21 14:13:03
21863,"kilo","entry",-0.125,0.125,"NNK35",2019-12-21 14:19:21
21881,"kilo","entry",-0.125,0.125,"NNK35",2019-12-21 14:52:44
21883,"lima","entry",-0.125,0.125,"NNK35",2019-12-21 14:53:25
21888,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-21 14:55:59
21896,"kilo","entry",-0.125,0.125,"NNK35",2019-12-21 15:19:21
21919,"lima","entry",-0.5,0.5,"NNK35",2019-12-21 16:24:25
21940,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-21 16:58:56
21979,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-21 18:00:09
21992,"kilo","entry",-0.1,0.1,"NNK35",2019-12-21 18:12:33
21999,"kilo","entry",-0.0625,0.0625,"NNK35",2019-12-21 18:20:54
22004,"lima","entry",-0.5,0.5,"NNK35",2019-12-21 18:33:54
22013,"kilo","entry",-0.1,0.1,"NNK35",2019-12-21 18:56:54
22029,"kilo","entry",-0.0454545454545455,0.0454545454545455,"NNK35",2019-12-21 19:30:18
22041,"juliet","entry",-0.0714285714285714,0.0714285714285714,"NNK35",2019-12-21 19:53:07
22052,"lima","entry",-0.0714285714285714,0.0714285714285714,"NNK35",2019-12-21 20:18:40
22078,"kilo","entry",-0.125,0.125,"NNK35",2019-12-22 06:10:20
22128,"kilo","entry",-0.125,0.125,"NNK35",2019-12-22 07:42:21
22129,"kilo","entry",-0.1,0.1,"NNK35",2019-12-22 07:45:10
22151,"kilo","entry",-0.125,0.125,"NNK35",2019-12-22 08:38:56
22157,"kilo","entry",-0.125,0.125,"NNK35",2019-12-22 08:59:08
22166,"juliet","entry",-0.25,0.25,"NNK35",2019-12-22 09:15:13
22188,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-22 10:11:43
22193,"juliet","exit",0.05,-0.05,"NNK35",2019-12-22 10:17:31
22207,"kilo","entry",-0.125,0.125,"NNK35",2019-12-22 11:06:43
22242,"kilo","entry",-0.125,0.125,"NNK35",2019-12-22 13:16:11
22249,"kilo","entry",-0.25,0.25,"NNK35",2019-12-22 13:28:49
22281,"kilo","entry",-0.125,0.125,"NNK35",2019-12-22 14:26:04
22285,"kilo","entry",-0.0714285714285714,0.0714285714285714,"NNK35",2019-12-22 14:30:20
22311,"juliet","exit",0.1,-0.1,"NNK35",2019-12-22 15:25:11
22314,"juliet","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-22 15:35:02
22316,"lima","entry",-0.125,0.125,"NNK35",2019-12-22 15:37:47
22330,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-22 15:50:35
22433,"kilo","entry",-0.0714285714285714,0.0714285714285714,"NNK35",2019-12-22 18:45:53
22561,"kilo","entry",-0.125,0.125,"NNK35",2019-12-23 08:50:03
22576,"kilo","entry",-0.1,0.1,"NNK35",2019-12-23 09:05:09
22628,"juliet","entry",-0.25,0.25,"NNK35",2019-12-23 10:47:38
22633,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-23 10:55:51
22635,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-23 10:57:13
22654,"kilo","entry",-0.125,0.125,"NNK35",2019-12-23 11:44:57
22674,"kilo","entry",-0.1,0.1,"NNK35",2019-12-23 12:24:18
22693,"kilo","entry",-0.25,0.25,"NNK35",2019-12-23 13:20:54
22755,"kilo","entry",-0.0714285714285714,0.0714285714285714,"NNK35",2019-12-23 15:10:35
22783,"juliet","entry",-0.25,0.25,"NNK35",2019-12-23 16:15:40
22885,"juliet","entry",-0.125,0.125,"NNK35",2019-12-23 19:28:44
22966,"lima","entry",-0.5,0.5,"NNK35",2019-12-24 07:51:07
22995,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-24 08:54:22
22999,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-24 09:00:30
23008,"kilo","entry",-0.125,0.125,"NNK35",2019-12-24 09:17:08
23009,"kilo","entry",-0.1,0.1,"NNK35",2019-12-24 09:17:38
23043,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-24 11:00:38
23056,"kilo","entry",-0.125,0.125,"NNK35",2019-12-24 11:43:50
23085,"kilo","entry",-0.125,0.125,"NNK35",2019-12-24 12:53:47
23129,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-24 14:44:38
23134,"lima","entry",-0.5,0.5,"NNK35",2019-12-24 14:50:51
23185,"kilo","entry",-0.1,0.1,"NNK35",2019-12-24 16:27:38
23212,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-24 18:00:02
23306,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-25 07:18:32
23314,"lima","entry",-0.5,0.5,"NNK35",2019-12-25 07:39:16
23319,"kilo","entry",-0.25,0.25,"NNK35",2019-12-25 07:49:23
23341,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-25 08:29:51
23360,"kilo","entry",-0.0714285714285714,0.0714285714285714,"NNK35",2019-12-25 09:00:59
23362,"kilo","entry",-0.1,0.1,"NNK35",2019-12-25 09:02:52
23374,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-25 09:23:46
23376,"kilo","entry",-0.1,0.1,"NNK35",2019-12-25 09:23:56
23425,"lima","exit",0.0714285714285714,-0.0714285714285714,"NNK35",2019-12-25 11:13:51
23452,"kilo","entry",-0.1,0.1,"NNK35",2019-12-25 12:18:59
23455,"kilo","entry",-0.125,0.125,"NNK35",2019-12-25 12:21:59
23459,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-25 12:23:04
23468,"kilo","entry",-0.0555555555555556,0.0555555555555556,"NNK35",2019-12-25 12:40:19
23477,"kilo","entry",-0.111111111111111,0.111111111111111,"NNK35",2019-12-25 12:50:00
23483,"kilo","entry",-0.25,0.25,"NNK35",2019-12-25 13:03:01
23485,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-25 13:03:05
23537,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-25 14:58:05
23551,"kilo","entry",-0.1,0.1,"NNK35",2019-12-25 15:23:51
23552,"juliet","entry",-0.25,0.25,"NNK35",2019-12-25 15:24:00
23564,"kilo","entry",-0.0625,0.0625,"NNK35",2019-12-25 15:55:49
23566,"kilo","entry",-0.0714285714285714,0.0714285714285714,"NNK35",2019-12-25 15:57:45
23590,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-25 17:03:07
23668,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-26 07:35:49
23692,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-26 08:00:19
23699,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-26 08:15:15
23701,"kilo","exit",0.166666666666667,-0.166666666666667,"NNK35",2019-12-26 08:15:22
23705,"kilo","entry",-0.25,0.25,"NNK35",2019-12-26 08:22:32
23733,"juliet","entry",-0.125,0.125,"NNK35",2019-12-26 09:27:53
23745,"kilo","entry",-0.25,0.25,"NNK35",2019-12-26 09:40:09
23751,"kilo","entry",-0.125,0.125,"NNK35",2019-12-26 09:47:32
23752,"kilo","entry",-0.25,0.25,"NNK35",2019-12-26 09:48:20
23764,"juliet","entry",-0.125,0.125,"NNK35",2019-12-26 10:07:43
23783,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-26 10:47:50
23809,"kilo","entry",-0.5,0.5,"NNK35",2019-12-26 11:45:38
23835,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-26 12:35:13
23863,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-26 13:29:06
23864,"kilo","entry",-0.25,0.25,"NNK35",2019-12-26 13:29:52
23901,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-26 14:33:39
23915,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-26 14:54:34
23952,"kilo","entry",-0.1,0.1,"NNK35",2019-12-26 16:16:07
23969,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-26 16:32:09
23991,"kilo","exit",0.125,-0.125,"NNK35",2019-12-26 17:15:27
23993,"kilo","entry",-0.1,0.1,"NNK35",2019-12-26 17:16:21
24053,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-27 16:45:14
24125,"juliet","entry",-0.125,0.125,"NNK35",2019-12-27 18:55:22
24132,"kilo","entry",-0.125,0.125,"NNK35",2019-12-27 19:04:19
24140,"kilo","entry",-0.1,0.1,"NNK35",2019-12-27 19:13:57
24183,"kilo","exit",0.0714285714285714,-0.0714285714285714,"NNK35",2019-12-28 06:06:53
24249,"kilo","entry",-0.0625,0.0625,"NNK35",2019-12-28 07:21:31
24292,"kilo","entry",-0.0555555555555556,0.0555555555555556,"NNK35",2019-12-28 08:53:39
24343,"kilo","entry",-0.0714285714285714,0.0714285714285714,"NNK35",2019-12-28 12:23:16
24346,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-28 12:26:33
24349,"kilo","entry",-0.0714285714285714,0.0714285714285714,"NNK35",2019-12-28 12:27:58
24354,"kilo","entry",-0.05,0.05,"NNK35",2019-12-28 12:44:13
24363,"kilo","entry",-0.125,0.125,"NNK35",2019-12-28 12:54:20
24381,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-28 13:14:28
24398,"juliet","entry",-0.0625,0.0625,"NNK35",2019-12-28 13:27:12
24410,"kilo","entry",-0.25,0.25,"NNK35",2019-12-28 13:43:02
24419,"kilo","exit",0.0555555555555556,-0.0555555555555556,"NNK35",2019-12-28 13:51:03
24423,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-28 13:51:23
24472,"juliet","entry",-0.125,0.125,"NNK35",2019-12-28 15:03:36
24481,"kilo","entry",-0.0714285714285714,0.0714285714285714,"NNK35",2019-12-28 15:18:25
24483,"kilo","entry",-0.1,0.1,"NNK35",2019-12-28 15:18:51
24484,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-28 15:18:57
24511,"juliet","exit",0.166666666666667,-0.166666666666667,"NNK35",2019-12-28 15:42:52
24523,"kilo","entry",-0.1,0.1,"NNK35",2019-12-28 16:02:14
24545,"kilo","entry",-0.5,0.5,"NNK35",2019-12-28 16:06:16
24580,"kilo","entry",-0.125,0.125,"NNK35",2019-12-28 16:58:27
24591,"lima","exit",0.125,-0.125,"NNK35",2019-12-28 17:04:07
24623,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-28 17:52:35
24631,"kilo","exit",0.25,-0.25,"NNK35",2019-12-28 18:08:01
24638,"kilo","entry",-0.1,0.1,"NNK35",2019-12-28 18:22:13
24649,"juliet","entry",-0.1,0.1,"NNK35",2019-12-28 18:26:15
24656,"kilo","entry",-0.1,0.1,"NNK35",2019-12-28 18:32:43
24681,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-28 19:04:12
24687,"kilo","entry",-0.166666666666667,0.166666666666667,"NNK35",2019-12-28 19:05:52
24704,"kilo","exit",0.0625,-0.0625,"NNK35",2019-12-28 19:19:58
24706,"kilo","entry",-0.125,0.125,"NNK35",2019-12-28 19:20:16
24713,"kilo","entry",-0.1,0.1,"NNK35",2019-12-28 19:21:02
24717,"kilo","entry",-0.1,0.1,"NNK35",2019-12-28 19:21:21
24807,"kilo","entry",-0.125,0.125,"NNK35",2019-12-29 07:02:26
24831,"kilo","exit",0.25,-0.25,"NNK35",2019-12-29 07:33:07
24841,"kilo","entry",-0.0625,0.0625,"NNK35",2019-12-29 07:43:02
24843,"kilo","entry",-0.1,0.1,"NNK35",2019-12-29 07:43:19
24867,"kilo","entry",-0.125,0.125,"NNK35",2019-12-29 08:21:11
24946,"kilo","entry",-0.5,0.5,"NNK35",2019-12-29 10:02:37
24956,"kilo","exit",0.5,-0.5,"NNK35",2019-12-29 10:04:10
24965,"kilo","entry",-0.25,0.25,"NNK35",2019-12-29 10:07:36
24997,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-29 11:07:32
25017,"kilo","entry",-0.0454545454545455,0.0454545454545455,"NNK35",2019-12-29 11:28:47
25021,"kilo","entry",-0.0357142857142857,0.0357142857142857,"NNK35",2019-12-29 11:33:25
25026,"kilo","entry",-0.0714285714285714,0.0714285714285714,"NNK35",2019-12-29 11:40:17
25094,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-29 13:17:20
25160,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-29 14:39:05
25185,"kilo","entry",-0.1,0.1,"NNK35",2019-12-29 15:13:21
25209,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-29 15:48:57
25222,"kilo","entry",-0.0714285714285714,0.0714285714285714,"NNK35",2019-12-29 15:57:41
25230,"juliet","exit",0.5,-0.5,"NNK35",2019-12-29 16:08:15
25275,"kilo","entry",-0.0833333333333333,0.0833333333333333,"NNK35",2019-12-29 17:14:26
25276,"kilo","entry",-0.0625,0.0625,"NNK35",2019-12-29 17:14:32
25460,"juliet","entry",-0.25,0.25,"NNK35",2019-12-30 07:22:07
25472,"lima","entry",-0.25,0.25,"NNK35",2019-12-30 07:43:56
25489,"kilo","entry",-0.1,0.1,"NNK35",2019-12-30 08:16:22
25493,"kilo","entry",-0.1,0.1,"NNK35",2019-12-30 08:16:44
25560,"juliet","entry",-0.1,0.1,"NNK35",2019-12-30 10:05:49
26460,"mike","entry",-0.1,0.1,"NNS1",2019-11-30 14:34:19
28567,"mike","exit",0.0833333333333333,-0.0833333333333333,"NNS1",2019-12-03 06:18:57
29291,"mike","exit",0.1,-0.1,"NNS1",2019-12-04 10:59:56
